Date,Open,High,Low,Close,Volume,Timestamp
9/19/2014 16:00:00,92.7,99.7,89.95,93.89,271879435,1411142400
9/22/2014 16:00:00,92.7,92.95,89.5,89.89,66657827,1411401600
9/23/2014 16:00:00,88.94,90.48,86.62,87.17,39009788,1411488000
9/24/2014 16:00:00,88.47,90.57,87.22,90.57,32088108,1411574400
9/25/2014 16:00:00,91.09,91.5,88.5,88.92,28597506,1411660800
9/26/2014 16:00:00,89.73,90.46,88.66,90.46,18339716,1411747200
9/29/2014 16:00:00,89.62,89.7,88.02,88.75,25302002,1412006400
9/30/2014 16:00:00,89,90.88,88.46,88.85,24419426,1412092800
10/1/2014 16:00:00,88.7,88.94,86.04,86.1,24029603,1412179200
10/2/2014 16:00:00,86.27,88.2,85.61,87.06,21469688,1412265600
10/3/2014 16:00:00,88.1,89.94,87.65,88.1,18485725,1412352000
10/6/2014 16:00:00,89.15,89.65,88.06,88.31,9276113,1412611200
10/7/2014 16:00:00,87.95,89.7,87.06,87.67,12791745,1412697600
10/8/2014 16:00:00,88,88.5,87.06,88.3,10259807,1412784000
10/9/2014 16:00:00,88.51,90.35,88,88.79,21506963,1412870400
10/10/2014 16:00:00,88.25,88.74,85.24,85.88,15431445,1412956800
10/13/2014 16:00:00,86.85,86.89,84.92,85.12,14845004,1413216000
10/14/2014 16:00:00,85.81,85.88,83.22,84.95,15567286,1413302400
10/15/2014 16:00:00,84.04,86.49,82.81,85.6,16824274,1413388800
10/16/2014 16:00:00,84.98,89.18,84.02,88.85,15231729,1413475200
10/17/2014 16:00:00,90.4,90.9,87.67,87.91,17360731,1413561600
10/20/2014 16:00:00,88,89.5,87.86,88.26,9891384,1413820800
10/21/2014 16:00:00,89.1,92.5,88.5,90.9,23243839,1413907200
10/22/2014 16:00:00,92.25,93.5,91.01,91.63,20364544,1413993600
10/23/2014 16:00:00,92.92,94.7,92.82,94.45,20640967,1414080000
10/24/2014 16:00:00,95.07,98,94.78,95.76,32132556,1414166400
10/27/2014 16:00:00,97,98.85,96.3,97.79,28302370,1414425600
10/28/2014 16:00:00,99.84,100.67,98.61,99.68,32127642,1414512000
10/29/2014 16:00:00,99.88,100,96.82,98.31,28655356,1414598400
10/30/2014 16:00:00,98.48,99.44,97.3,98.73,15484601,1414684800
10/31/2014 16:00:00,100.1,100.22,98.14,98.6,18128280,1414771200
11/3/2014 16:00:00,99.67,102.8,99.05,101.8,40883730,1415030400
11/4/2014 16:00:00,100.43,106.36,99.51,106.07,67814005,1415116800
11/5/2014 16:00:00,108.48,110.14,106.48,108.67,48344248,1415203200
11/6/2014 16:00:00,109.3,111.7,107.21,111.57,33608596,1415289600
11/7/2014 16:00:00,112.93,114.77,111.75,114.56,51457292,1415376000
11/10/2014 16:00:00,117.27,119.45,115.2,119.15,75970621,1415635200
11/11/2014 16:00:00,117.25,117.55,113.69,114.54,71152418,1415721600
11/12/2014 16:00:00,115.05,119.07,114.02,118.2,53908024,1415808000
11/13/2014 16:00:00,119.3,120,114.55,114.84,62162512,1415894400
11/14/2014 16:00:00,115.06,115.39,113.35,115.1,29848790,1415980800
11/17/2014 16:00:00,115.44,115.63,113.13,114.25,22573052,1416240000
11/18/2014 16:00:00,114.33,114.38,110.41,110.81,41097971,1416326400
11/19/2014 16:00:00,109.83,110.68,107.22,108.82,46840584,1416412800
11/20/2014 16:00:00,107.81,112.44,107.26,109.82,36489321,1416499200
11/21/2014 16:00:00,113.21,113.5,110.44,110.73,27432207,1416585600
11/24/2014 16:00:00,112,113.93,111.55,113.92,20645684,1416844800
11/25/2014 16:00:00,114.94,115.17,112.33,113.47,23484800,1416931200
11/26/2014 16:00:00,113.33,113.74,112.33,112.67,11832909,1417017600
11/28/2014 16:00:00,113.14,113.23,111.11,111.64,8077842,1417190400
12/1/2014 16:00:00,110.02,110.05,103.9,105.99,38464170,1417449600
12/2/2014 16:00:00,107.35,110,106.61,109.89,18785046,1417536000
12/3/2014 16:00:00,110.4,111.68,108.8,110.64,16221061,1417622400
12/4/2014 16:00:00,110.1,110.5,108.91,109.17,10860303,1417708800
12/5/2014 16:00:00,109.6,110.35,107.76,107.9,12148064,1417795200
12/8/2014 16:00:00,105.97,107.4,104.21,105.07,19217254,1418054400
12/9/2014 16:00:00,102.27,107.95,101.2,107.48,24866811,1418140800
12/10/2014 16:00:00,107.09,107.38,103.51,103.88,18466661,1418227200
12/11/2014 16:00:00,104.44,106.84,104.29,104.97,15684278,1418313600
12/12/2014 16:00:00,104.7,107.45,104.18,105.11,14537588,1418400000
12/15/2014 16:00:00,106.39,107.77,103.7,104.7,16521759,1418659200
12/16/2014 16:00:00,103.75,107.68,103.7,105.77,21700589,1418745600
12/17/2014 16:00:00,107.11,109.19,106.28,109.02,17311145,1418832000
12/18/2014 16:00:00,110.58,111.2,108.26,109.25,22788099,1418918400
12/19/2014 16:00:00,109.93,110.65,108.04,110.65,14857753,1419004800
12/22/2014 16:00:00,110.63,110.98,108.53,108.77,13041238,1419264000
12/23/2014 16:00:00,108.3,108.47,103.88,105.52,19096295,1419350400
12/24/2014 16:00:00,105.68,107.21,105.6,105.95,5870358,1419436800
12/26/2014 16:00:00,105.99,106.94,105.5,105.95,6529104,1419609600
12/29/2014 16:00:00,105.95,107.66,105.64,105.98,8068606,1419868800
12/30/2014 16:00:00,105.64,106.71,105.13,105.75,10205745,1419955200
12/31/2014 16:00:00,106.46,106.47,103.69,103.94,10283426,1420041600
1/2/2015 16:00:00,104.24,104.72,102.52,103.6,12303388,1420214400
1/5/2015 16:00:00,102.76,103.02,99.9,101,18337015,1420473600
1/6/2015 16:00:00,101.25,103.85,100.11,103.32,15720408,1420560000
1/7/2015 16:00:00,104.59,104.74,102.03,102.13,11052156,1420646400
1/8/2015 16:00:00,102.95,105.34,102.68,105.03,12942054,1420732800
1/9/2015 16:00:00,105.24,105.3,102.89,103.02,10222235,1420819200
1/12/2015 16:00:00,103.2,103.36,101.21,101.62,7997243,1421078400
1/13/2015 16:00:00,102.59,102.85,100.01,100.77,11294447,1421164800
1/14/2015 16:00:00,99.28,100.18,98.06,99.58,17807989,1421251200
1/15/2015 16:00:00,99.67,100.14,96.02,96.31,18260075,1421337600
1/16/2015 16:00:00,96.09,97.8,95.52,96.89,13327946,1421424000
1/20/2015 16:00:00,98.3,100.21,97.59,100.04,12105566,1421769600
1/21/2015 16:00:00,100.75,103.86,100.32,103.29,15186903,1421856000
1/22/2015 16:00:00,104.6,104.92,103.1,104,11432954,1421942400
1/23/2015 16:00:00,104.02,105.2,103.02,103.11,9873817,1422028800
1/26/2015 16:00:00,104.4,105.13,103.33,103.99,10664933,1422288000
1/27/2015 16:00:00,102.89,103.57,100.58,102.94,15659923,1422374400
1/28/2015 16:00:00,100.3,101.49,97.79,98.45,42144722,1422460800
1/29/2015 16:00:00,90.53,90.74,87.36,89.81,76561394,1422547200
1/30/2015 16:00:00,89.6,92,88.11,89.08,36806855,1422633600
2/2/2015 16:00:00,91.13,91.66,88.61,90.13,18865339,1422892800
2/3/2015 16:00:00,91.65,91.65,89.9,90.61,13512263,1422979200
2/4/2015 16:00:00,90.99,91.88,89.48,90,14643641,1423065600
2/5/2015 16:00:00,89.58,89.84,86.1,87,28926155,1423152000
2/6/2015 16:00:00,87.11,87.4,85.42,85.68,17632088,1423238400
2/9/2015 16:00:00,85.83,86.75,85.47,86,12109549,1423497600
2/10/2015 16:00:00,87.01,87.47,86.52,87.26,12043343,1423584000
2/11/2015 16:00:00,87.58,87.7,85.82,86,12391883,1423670400
2/12/2015 16:00:00,85.6,88.3,85.55,87.1,15177782,1423756800
2/13/2015 16:00:00,88.2,89.3,87.65,89.05,14665220,1423843200
2/17/2015 16:00:00,88.78,88.99,86.7,86.85,15191655,1424188800
2/18/2015 16:00:00,87.1,87.43,86.5,86.74,7422267,1424275200
2/19/2015 16:00:00,86.81,87.87,86.71,86.89,7604050,1424361600
2/20/2015 16:00:00,87.25,87.29,86.38,86.64,7821725,1424448000
2/23/2015 16:00:00,86.51,86.68,85.25,85.47,9367921,1424707200
2/24/2015 16:00:00,85.53,85.53,83.88,84.69,15846433,1424793600
2/25/2015 16:00:00,84.38,86.83,84.36,86.19,13645741,1424880000
2/26/2015 16:00:00,86.92,87.16,85.2,85.37,8763283,1424966400
2/27/2015 16:00:00,85.95,86.56,85,85.12,8377156,1425052800
3/2/2015 16:00:00,85,85.02,83.75,84,11213400,1425312000
3/3/2015 16:00:00,82.95,83.25,80.03,81.58,39246079,1425398400
3/4/2015 16:00:00,80.27,85.83,80.17,85.49,36607207,1425484800
3/5/2015 16:00:00,85.75,86.27,84.01,86.1,18514791,1425571200
3/6/2015 16:00:00,85.74,86,84.05,84.4,10673713,1425657600
3/9/2015 16:00:00,84.35,84.35,81.48,82.53,17609246,1425916800
3/10/2015 16:00:00,81.09,83.15,80.65,82.97,13804848,1426003200
3/11/2015 16:00:00,83,83.38,81.19,81.99,12765558,1426089600
3/12/2015 16:00:00,82.1,82.9,81.53,81.92,11229263,1426176000
3/13/2015 16:00:00,81.8,81.92,80.77,81.86,12659615,1426262400
3/16/2015 16:00:00,82.01,85.2,81.94,84,16903700,1426521600
3/17/2015 16:00:00,84.01,85.1,83.51,84.5,17616665,1426608000
3/18/2015 16:00:00,83.87,85.95,83.3,84.59,35652144,1426694400
3/19/2015 16:00:00,85.11,87.04,85,85.74,30452838,1426780800
3/20/2015 16:00:00,86.33,86.8,85.09,85.2,21177585,1426867200
3/23/2015 16:00:00,85.25,85.53,84.21,84.25,11177574,1427126400
3/24/2015 16:00:00,84.35,84.5,82.39,83.63,14539272,1427212800
